Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:int, var1:int, var1:int, CTest.c:C, C.FLAG:UNKNOWNP.UNKNOWN, C.FLAG:UNKNOWNP.UNKNOWN, var1:int, var3:int, var1:int, var3:int, CTest.c:C, CTest.c:C, }, Invocations={CFactory.makeC.makeC():void, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, C.m1(java.lang.StringBuffer, boolean, UNKNOWNP.UNKNOWN):int, C.m2(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, C.m3(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, }, Assertions={fail, }
id=18174 rank=34 score=2.000 fqn=org.mifos.platform.questionnaire.domain.QuestionnaireServiceTest heuristics={A:1.000, R:1.000}
id=3879 rank=34 score=2.000 fqn=org.exist.storage.RecoverBinaryTest heuristics={A:1.000, R:1.000}
id=8456 rank=34 score=2.000 fqn=quickfix.MessageTest heuristics={A:1.000, R:1.000}
id=10920 rank=34 score=2.000 fqn=org.yactu.tools.streams.UsefulStreamClientTest heuristics={A:1.000, R:1.000}
id=3509 rank=34 score=2.000 fqn=org.exist.xquery.test.XQueryUpdateTest heuristics={A:1.000, R:1.000}
id=5544 rank=34 score=2.000 fqn=org.joda.time.TestYearMonthDay_Basics heuristics={A:1.000, R:1.000}
id=17007 rank=34 score=2.000 fqn=org.mifos.application.holiday.persistence.HolidayDaoHibernateIntegrationTest heuristics={A:1.000, R:1.000}
id=18782 rank=34 score=2.000 fqn=net.sf.classifier4J.vector.VectorClassifierTest heuristics={A:1.000, R:1.000}
id=7040 rank=34 score=2.000 fqn=net.sf.ngrease.ffp.ElementParserNgrImplTest heuristics={A:1.000, DF:1.000}
id=3475 rank=34 score=2.000 fqn=org.exist.xquery.test.SAXStorageTest heuristics={A:1.000, R:1.000}
id=3679 rank=34 score=2.000 fqn=org.exist.storage.test.ShutdownTest heuristics={A:1.000, R:1.000}
id=18651 rank=34 score=2.000 fqn=org.lockss.test.TestInternalSocket heuristics={A:1.000, R:1.000}
id=5534 rank=34 score=2.000 fqn=org.joda.time.TestHours heuristics={A:1.000, R:1.000}
id=6651 rank=34 score=2.000 fqn=com.amazon.carbonado.layout.TestLayout heuristics={A:1.000, R:1.000}
id=8199 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.builder.action.TestActionInvoker heuristics={A:1.000, R:1.000}
id=8941 rank=34 score=2.000 fqn=org.acegisecurity.context.SecurityContextHolderTests heuristics={A:1.000, R:1.000}
id=9795 rank=34 score=2.000 fqn=com.fishfarm.bookreader.book.BookTest heuristics={A:1.000, R:1.000}
id=11973 rank=34 score=2.000 fqn=sourcediff.parse.JavaParserTest heuristics={A:1.000, R:1.000}
id=14425 rank=34 score=2.000 fqn=net.sf.jpd.bt.BTDownloaderTest heuristics={A:1.000, R:1.000}
id=1259 rank=34 score=2.000 fqn=org.smartfrog.test.unit.sfcore.languages.cdl.references.ReferencePathTest heuristics={A:1.000, R:1.000}
id=2354 rank=34 score=2.000 fqn=org.python.util.install.driver.AutotestTest heuristics={A:1.000, R:1.000}
id=8618 rank=34 score=2.000 fqn=quickfix.SessionScheduleTest heuristics={A:1.000, R:1.000}
id=13623 rank=34 score=2.000 fqn=ie.omk.smpp.util.TestAPIConfig heuristics={A:1.000, R:1.000}
id=3758 rank=34 score=2.000 fqn=org.exist.xquery.OpNumericTest heuristics={A:1.000, R:1.000}
id=3893 rank=34 score=2.000 fqn=org.exist.storage.ResourceTest heuristics={A:1.000, R:1.000}
id=5467 rank=34 score=2.000 fqn=org.joda.time.chrono.TestBuddhistChronology heuristics={A:1.000, R:1.000}
id=14875 rank=34 score=2.000 fqn=org.springframework.richclient.security.DefaultApplicationSecurityManagerTests heuristics={A:1.000, R:1.000}
